Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C_0603_100nF_25V_X7R,
C2,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-R-RD,1,RVT1V471M1010-C72519,C72519
F1,F0805,1,SMD0805-050,C66452
L1,Rod_Inductor_15mm,1,L,
Q1,SOT-23,1,AO3400A,
"R1, R2",0603,2,R_0603_2.2K_5%,
"R3, R4",0603,2,R_0603_1K_5%,
R5,0805,1,R_0805_100R_5%,
R6,0805,1,R_0805_100K_5%,
R7,1210,1,R_1210_47R_5%,
U1,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U2,WaveShare_ESP32_Zero,1,WaveShare_ESP32_Zero,
"U3, U4",CAP-TH_L11.4-W4.3-P10.00-D0.6,2,MPP472J2J10AJ22610,C506828
U5,LED-SMD_L1.6-W1.1-R-RD,1,GL0602UR01,C51933323
U6,LED-SMD_L1.6-W1.1-R-RD,1,GL0602UG01,C51933323
